case Id,activity,timestamp
60_0,Loan application received,63700189200
60_0,Check application form completeness,63700189926
60_0,Check credit history,63700190104
60_0,Assess loan risk,63700191067
60_0,Appraise property,63700194398
60_0,Added1,63700255491
60_0,Assess eligibility,63700256343
60_0,Reject application,63700259875
60_0,Loan application rejected,63700259875
61_1,Loan application received,63700263000
61_1,Check application form completeness,63700265691
61_1,Appraise property,63700266040
61_1,Added1,63700266553
61_1,Check credit history,63700268049
61_1,Assess loan risk,63700272581
61_1,Assess eligibility,63700275515
61_1,Reject application,63700277122
61_1,Loan application rejected,63700277122
62_2,Loan application received,63700279200
62_2,Check application form completeness,63700282612
62_2,Check credit history,63700340539
62_2,Appraise property,63700340775
62_2,Added 2,63700341335
62_2,Assess loan risk,63700343487
62_2,Assess eligibility,63700358975
62_2,Reject application,63700361431
62_2,Loan application rejected,63700361431
140_3,Loan application received,63705632400
140_3,Check application form completeness,63705632724
140_3,Appraise property,63705634726
140_3,Added 2,63705635045
140_3,Check credit history,63705635110
140_3,Assess loan risk,63705638607
140_3,Assess eligibility,63705697663
140_3,Reject application,63705700668
140_3,Loan application rejected,63705700668
69_4,Loan application received,63700795800
69_4,Check application form completeness,63700796747
69_4,Check credit history,63700797414
69_4,Assess loan risk,63700797465
69_4,Appraise property,63700798908
69_4,Added1,63700799291
69_4,Assess eligibility,63700800206
69_4,Prepare acceptance pack,63700859523
69_4,Check if home insurance quote is requested,63700860879
69_4,Send home insurance quote,63700861163
69_4,Verify repayment agreement,63700862229
69_4,Cancel application,63700863124
69_4,Loan application canceled,63700863124
141_5,Loan application received,63705706200
141_5,Check application form completeness,63705709776
141_5,Appraise property,63705710373
141_5,Added1,63705711391
141_5,Check credit history,63705712047
141_5,Assess loan risk,63705713086
141_5,Assess eligibility,63705715231
141_5,Reject application,63705717216
141_5,Loan application rejected,63705717216
50_6,Loan application received,63699566400
50_6,Check application form completeness,63699567958
50_6,Appraise property,63699568740
50_6,Check credit history,63699569201
50_6,Assess loan risk,63699569766
50_6,Added1,63699569867
50_6,Assess eligibility,63699570183
50_6,Prepare acceptance pack,63699572802
50_6,Check if home insurance quote is requested,63699574217
50_6,Send acceptance pack,63699574701
50_6,Verify repayment agreement,63699576508
50_6,Cancel application,63699576993
50_6,Loan application canceled,63699576993
70_7,Loan application received,63700869600
70_7,Check application form completeness,63700872732
70_7,Appraise property,63700873204
70_7,Added1,63700874290
70_7,Check credit history,63700876278
70_7,Assess loan risk,63700876537
70_7,Assess eligibility,63700876551
70_7,Reject application,63700883756
70_7,Loan application rejected,63700883756
72_8,Loan application received,63700959600
72_8,Check application form completeness,63700960788
72_8,Appraise property,63700961977
72_8,Added1,63700962850
72_8,Check credit history,63700963720
72_8,Assess loan risk,63700967776
72_8,Assess eligibility,63700972101
72_8,Reject application,63701206858
72_8,Loan application rejected,63701206858
51_9,Loan application received,63699582600
51_9,Check application form completeness,63699583309
51_9,Check credit history,63699583833
51_9,Appraise property,63699586122
51_9,Assess loan risk,63699586306
51_9,Added1,63699587326
51_9,Assess eligibility,63699588397
51_9,Prepare acceptance pack,63699589797
51_9,Check if home insurance quote is requested,63699591262
51_9,Send acceptance pack,63699650804
51_9,Verify repayment agreement,63699653098
51_9,Cancel application,63699656186
51_9,Loan application canceled,63699656186
249_10,Loan application received,63713043000
249_10,Check application form completeness,63713045615
249_10,Appraise property,63713045675
249_10,Check credit history,63713045921
249_10,Added 2,63713049215
249_10,Assess loan risk,63713050567
249_10,Assess eligibility,63713052649
249_10,Prepare acceptance pack,63713054206
249_10,Check if home insurance quote is requested,63713056904
249_10,Send acceptance pack,63713059440
249_10,Verify repayment agreement,63713060305
249_10,Approve application,63713061460
249_10,Loan application approved,63713061460
73_11,Loan application received,63701206200
73_11,Check application form completeness,63701206289
73_11,Check credit history,63701206606
73_11,Assess loan risk,63701207711
73_11,Appraise property,63701208902
73_11,Added1,63701210003
73_11,Assess eligibility,63701210662
73_11,Reject application,63701212118
73_11,Loan application rejected,63701212118
244_12,Loan application received,63712789200
244_12,Check application form completeness,63712792866
244_12,Appraise property,63712793101
244_12,Check credit history,63712794651
244_12,Assess loan risk,63712796071
244_12,Added 2,63712796300
244_12,Assess eligibility,63712796910
244_12,Prepare acceptance pack,63712798010
244_12,Check if home insurance quote is requested,63712798477
244_12,Send home insurance quote,63712798504
244_12,Verify repayment agreement,63712801380
244_12,Cancel application,63712805804
244_12,Loan application canceled,63712805804
243_13,Loan application received,63712715400
243_13,Check application form completeness,63712717999
243_13,Check credit history,63712718002
243_13,Assess loan risk,63712719363
243_13,Appraise property,63712723714
243_13,Added1,63712724179
243_13,Assess eligibility,63712785124
243_13,Reject application,63712789623
243_13,Loan application rejected,63712789623
71_14,Loan application received,63700885800
71_14,Check application form completeness,63700886790
71_14,Appraise property,63700887545
71_14,Added1,63700945699
71_14,Check credit history,63700945989
71_14,Assess loan risk,63700946008
71_14,Assess eligibility,63700946125
71_14,Reject application,63700947917
71_14,Loan application rejected,63700947917
58_15,Loan application received,63700099200
58_15,Check application form completeness,63700101018
58_15,Check credit history,63700102251
58_15,Appraise property,63700103742
58_15,Added 2,63700104036
58_15,Assess loan risk,63700169336
58_15,Assess eligibility,63700169394
58_15,Reject application,63700180551
58_15,Loan application rejected,63700180551
59_16,Loan application received,63700173000
59_16,Check application form completeness,63700173511
59_16,Appraise property,63700176514
59_16,Check credit history,63700177839
59_16,Assess loan risk,63700178346
59_16,Added 2,63700179826
59_16,Assess eligibility,63700186185
59_16,Reject application,63700188968
59_16,Loan application rejected,63700188968
245_17,Loan application received,63712805400
245_17,Check application form completeness,63712869712
245_17,Check credit history,63712870101
245_17,Appraise property,63712870400
245_17,Added 2,63712872051
245_17,Assess loan risk,63712874097
245_17,Assess eligibility,63712876027
245_17,Prepare acceptance pack,63712876472
